dataset,model,accuracy,precision,recall,f1,false_positive_rate,inference_time_ms_per_email
Kaggle,TF-IDF + MultinomialNB,0.8631138975966562,1.0,0.5093632958801498,0.674937965260546,0.0,0.0013073834774542752
Kaggle,TF-IDF + LogisticRegression,0.9414838035527692,1.0,0.7902621722846442,0.8828451882845189,0.0,0.0013714734573878713
Kaggle,TF-IDF + LinearSVM,0.9905956112852664,0.9961538461538462,0.9700374531835206,0.98292220113852,0.0014492753623188,0.0003598924325302228
Kaggle,TF-IDF + RandomForest,0.9832810867293624,0.9960474308300395,0.9438202247191012,0.9692307692307692,0.0014492753623188,0.027779345969935195
Kaggle,TextCNN,0.9833,0.9846,0.9551,0.9696,0.0058,1.5106
Kaggle,BiLSTM,0.9666,0.9181,0.9663,0.9416,0.0333,1.1693
Kaggle,DistilBERT,0.9885,0.9923,0.9663,0.9791,0.0029,23.619999999999997
MeAJOR,TF-IDF + MultinomialNB,0.9630160893160248,0.9845866152887176,0.9316353887399464,0.9573793977463704,0.0117347599119893,0.0006055696992201679
MeAJOR,TF-IDF + LogisticRegression,0.976977694900667,0.975891944250121,0.9723860589812332,0.974135847232294,0.0193278398550412,0.00019800258256809738
MeAJOR,TF-IDF + LinearSVM,0.9845083554471776,0.9818522483940044,0.98343163538874,0.9826413072595768,0.0146253073903101,0.0002177217472515187
MeAJOR,TF-IDF + RandomForest,0.9774558320782232,0.9857354474131782,0.9633780160857908,0.9744285055725792,0.0112170499158721,0.03780744619983782
MeAJOR,TextCNN,0.983074,0.976775,0.985469,0.981103,0.018853,0.321062
MeAJOR,BiLSTM,0.979153,0.977903,0.975282,0.976591,0.017732,3.134667
MeAJOR,DistilBERT,0.9896,0.9923,0.9842,0.9882,0.0062,7.637
Kaggle,"SimHash + kNN (128-bit, k=1)",0.9122,0.8828,0.7903,0.834,0.0406,0.0504
MeAJOR,"SimHash + kNN (128-bit, k=9)",0.8615,0.8493,0.8379,0.8436,0.1196,1.2267
